,wavelengths,intensities
389,277.0415762419593,895.0
390,277.11561790193,866.0
391,277.1896533151073,885.0
392,277.2636824814912,877.0
393,277.3377054010817,882.0
394,277.4117220738788,884.0
395,277.4857324998825,907.0
396,277.5597366790928,932.0
397,277.63373461150974,897.0
398,277.7077262971332,919.0
399,277.7817117359633,934.0
400,277.85569092800006,954.0
401,277.92966387324327,930.0
402,278.0036305716932,925.0
403,278.07759102334967,934.0
404,278.1515452282128,934.0
405,278.2254931862825,931.0
406,278.2994348975588,929.0
407,278.3733703620417,917.0
408,278.44729957973124,909.0
409,278.52122255062733,934.0
410,278.59513927473006,908.0
411,278.66904975203926,937.0
412,278.7429539825552,965.0
413,278.8168519662777,988.0
414,278.8907437032068,1072.0
415,278.9646291933425,1159.0
416,279.0385084366848,1171.0
417,279.11238143323374,1137.0
418,279.18624818298923,1178.0
419,279.2601086859513,1316.0
420,279.33396294212,1575.0
421,279.40781095149526,1894.0
422,279.4816527140772,1825.0
423,279.5554882298657,1527.0
424,279.6293174988608,1420.0
425,279.7031405210625,1408.0
426,279.7769572964708,1318.0
427,279.8507678250857,1227.0
428,279.92457210690725,1187.0
429,279.9983701419353,1279.0
430,280.07216193017,1538.0
431,280.14594747161135,1757.0
432,280.2197267662592,1522.0
433,280.2934998141137,1243.0
434,280.3672666151748,1076.0
435,280.4410271694425,1034.0
436,280.5147814769168,994.0
437,280.5885295375977,957.0
438,280.66227135148523,945.0
439,280.73600691857933,939.0
440,280.80973623888,918.0
441,280.8834593123873,941.0
442,280.9571761391012,917.0
443,281.0308867190217,918.0
444,281.1045910521488,905.0
445,281.1782891384825,929.0
446,281.2519809780228,900.0
447,281.3256665707697,887.0
448,281.39934591672323,914.0
449,281.4730190158833,912.0
450,281.54668586825005,905.0
451,281.62034647382336,920.0
452,281.6940008326032,903.0
453,281.7676489445897,908.0
454,281.8412908097828,907.0
455,281.9149264281825,881.0
456,281.9885557997888,873.0
457,282.0621789246017,890.0
458,282.1357958026212,889.0
459,282.20940643384733,883.0
460,282.28301081828005,900.0
461,282.3566089559193,889.0
462,282.4302008467652,881.0
463,282.5037864908177,882.0
464,282.5773658880768,892.0
465,282.6509390385425,881.0
466,282.7245059422148,905.0
467,282.7980665990937,891.0
468,282.87162100917925,888.0
469,282.9451691724713,906.0
470,283.01871108897,901.0
471,283.09224675867534,888.0
472,283.1657761815872,880.0
473,283.2392993577057,884.0
474,283.3128162870308,889.0
475,283.3863269695625,883.0
476,283.4598314053008,892.0
477,283.53332959424574,899.0
478,283.6068215363972,887.0
479,283.6803072317553,889.0
480,283.75378668032005,885.0
481,283.8272598820913,878.0
482,283.9007268370692,903.0
483,283.9741875452537,899.0
484,284.0476420066448,873.0
485,284.1210902212425,891.0
486,284.1945321890468,908.0
487,284.26796791005773,881.0
488,284.34139738427524,877.0
489,284.4148206116993,894.0
490,284.48823759233005,881.0
491,284.56164832616736,877.0
492,284.6350528132112,901.0
493,284.7084510534617,904.0
494,284.7818430469188,883.0
495,284.8552287935825,913.0
496,284.92860829345284,942.0
497,285.0019815465297,985.0
498,285.07534855281324,1060.0
499,285.1487093123033,1030.0
500,285.222063825,980.0
501,285.2954120909033,926.0
502,285.3687541100132,922.0
503,285.4420898823297,891.0
504,285.5154194078528,905.0
505,285.5887426865825,879.0
506,285.66205971851883,892.0
507,285.7353705036617,905.0
508,285.8086750420112,890.0
509,285.8819733335673,875.0
510,285.95526537833,881.0
511,286.02855117629935,904.0
512,286.1018307274752,897.0
513,286.1751040318577,884.0
514,286.2483710894468,873.0
515,286.3216319002425,871.0
516,286.3948864642448,879.0
517,286.4681347814537,872.0
518,286.54137685186925,895.0
519,286.61461267549134,871.0
520,286.68784225232,892.0
521,286.7610655823553,867.0
522,286.8342826655972,870.0
523,286.90749350204567,867.0
524,286.9806980917008,880.0
525,287.0538964345625,882.0
526,287.12708853063083,891.0
527,287.2002743799057,870.0
528,287.2734539823872,899.0
529,287.34662733807534,907.0
530,287.41979444697006,903.0
531,287.49295530907136,887.0
532,287.5661099243792,891.0
533,287.6392582928937,886.0
534,287.7124004146148,873.0
535,287.7855362895425,899.0
536,287.85866591767683,920.0
537,287.93178929901774,988.0
538,288.0049064335652,1104.0
539,288.07801732131935,1139.0
540,288.15112196228006,1036.0
541,288.2242203564473,975.0
542,288.2973125038212,959.0
543,288.37039840440167,925.0
544,288.4434780581888,894.0
545,288.5165514651825,896.0
546,288.5896186253828,919.0
547,288.66267953878975,884.0
548,288.7357342054032,894.0
549,288.80878262522333,881.0
550,288.88182479825,885.0
551,288.95486072448335,887.0
552,289.0278904039232,877.0
553,289.1009138365697,893.0
554,289.1739310224228,870.0
555,289.2469419614825,855.0
556,289.3199466537488,886.0
557,289.3929450992217,882.0
558,289.46593729790123,886.0
559,289.53892324978733,876.0
560,289.61190295488,879.0
561,289.68487641317927,885.0
562,289.75784362468517,877.0
563,289.8308045893977,893.0
564,289.9037593073168,872.0
565,289.9767077784425,888.0
566,290.0496500027748,871.0
567,290.1225859803137,871.0
568,290.1955157110592,869.0
569,290.26843919501135,877.0
570,290.34135643217,869.0
571,290.4142674225353,886.0
572,290.4871721661072,874.0
573,290.5600706628857,893.0
574,290.6329629128708,876.0
575,290.7058489160625,864.0
576,290.77872867246083,877.0
577,290.85160218206573,873.0
578,290.9244694448772,883.0
579,290.99733046089534,872.0
580,291.07018523012005,879.0
581,291.1430337525513,871.0
582,291.2158760281892,857.0
583,291.2887120570337,879.0
584,291.3615418390848,884.0
585,291.4343653743425,903.0
586,291.5071826628068,880.0
587,291.5799937044777,876.0
588,291.65279849935524,875.0
589,291.72559704743935,886.0
590,291.79838934873004,884.0
591,291.8711754032273,887.0
