name,nm
Fe II,262.849930
Fe II,262.858113
Fe II,262.879818
Fe II,262.894509
Fe II,262.928578
Fe II,262.95705
Fe I,262.957226
Fe II,262.958832
Fe II,263.007114
Fe II,263.018443
Fe II,263.100965
Fe II,263.104672
Fe II,263.132285
Fe II,263.142562
Fe II,263.160823
Fe II,263.176148
Fe I,263.223736
Fe II,263.252247
Fe II,263.320301
Fe II,263.354848
Fe II,263.490370
Fe II,263.490418
Fe II,263.499072
Fe II,263.540073
Fe I,263.571918
Fe I,263.580897
Fe II,263.66954
Fe II,263.675484
Fe II,263.678914
Fe II,263.684103
Fe II,263.717507
Fe II,263.749723
Fe II,263.764349
Fe II,263.82403
Fe II,263.956401
Fe I,264.102912
Fe II,264.112370
Fe II,264.141818
Fe I,264.164559
Fe II,264.164161
Fe II,264.201213
Fe II,264.23874
Fe II,264.29768
Fe II,264.37781
Fe I,264.399839
Fe II,264.456441
Fe II,264.462737
Fe II,264.499020
Fe II,264.508209
Fe II,264.51969
Fe II,264.53338
Fe II,264.552380
Fe II,264.558212
Fe II,264.590374
Fe II,264.609677
Fe II,264.621157
Fe II,264.632169
Fe II,264.702530
Fe II,264.739972
Fe II,264.762024
Fe II,264.770341
Fe II,264.854747
Fe II,264.869000
Fe II,264.899721
Fe II,264.922081
Fe II,264.946951
Fe II,264.99782
Fe II,265.001974
Fe II,265.048110
Fe II,265.076574
Fe II,265.168989
Fe II,265.183810
Fe II,265.256612
Fe II,265.330967
Fe II,265.355724
Fe II,265.366650
Fe II,265.440299
Fe II,265.462848
Fe II,265.481052
Fe II,265.536047
Fe II,265.569241
Fe II,265.604486
Fe II,265.608678
Fe I,265.614508
Fe I,265.679150
Fe II,265.717010
Fe II,265.758731
Fe II,265.791808
Fe II,265.825182
Fe II,265.841307
Fe II,265.870402
Fe II,265.899843
Fe II,265.905593
Fe II,265.909130
Fe II,265.965678
Fe II,265.982733
Fe II,266.023646
Fe II,266.073699
Fe II,266.099891
Fe II,266.177066
Fe II,266.183353
Fe II,266.193553
Fe II,266.203123
Fe I,266.205639
Fe II,266.255676
Fe II,266.322596
Fe II,266.326009
Fe II,266.372649
Fe II,266.420008
Fe II,266.425916
Fe II,266.444201
Fe II,266.466349
Fe II,266.532541
Fe II,266.540984
Fe II,266.554047
Fe II,266.609100
Fe I,266.639857
Fe II,266.663566
Fe II,266.668252
Fe II,266.675074
Fe I,266.681221
Fe II,266.691228
Fe I,266.696468
Fe II,266.706095
Fe II,266.721807
Fe II,266.739031
Fe II,266.752113
Fe II,266.761673
Fe II,266.824639
Fe II,266.853337
Fe II,266.862184
Fe II,266.890955
Fe II,266.900810
Fe I,266.949283
Fe II,266.99362
Fe II,267.038315
Fe II,267.102967
Fe II,267.107628
Fe II,267.139185
Fe II,267.192216
Fe II,267.201257
Fe II,267.213914
Fe II,267.223636
Fe II,267.248040
Fe II,267.254784
Fe II,267.298626
Fe I,267.321293
Fe II,267.342926
Fe II,267.39137
Fe II,267.409342
Fe II,267.455926
Fe II,267.501673
Fe II,267.512275
Fe II,267.544107
Fe II,267.642357
Fe II,267.687824
Fe II,267.707044
Fe II,267.782873
Fe II,267.888513
Fe I,267.90221
Fe I,267.906153
Fe II,267.916313
Fe II,267.960853
Fe II,267.977626
Fe II,268.023223
Fe I,268.045292
Fe II,268.061408
Fe II,268.070249
Fe II,268.082392
Fe II,268.087122
Fe II,268.098957
Fe II,268.102214
Fe II,268.10437
Fe II,268.123147
Fe II,268.20418
Fe II,268.251002
Fe II,268.29965
Fe II,268.303172
Fe II,268.30821
Fe II,268.370909
Fe II,268.377444
Fe II,268.430499
Fe II,268.442861
Fe II,268.475331
Fe II,268.553236
Fe II,268.583057
Fe II,268.596343
Fe II,268.621706
Fe II,268.638715
Fe II,268.64866
Fe II,268.695042
Fe II,268.765095
Fe II,268.799076
Fe II,268.818954
Fe I,268.921246
Fe I,268.982861
Fe I,269.004619
Fe II,269.021928
Fe II,269.173623
Fe II,269.213791
Fe II,269.251758
Fe II,269.260157
Fe II,269.283364
Fe II,269.300509
Fe II,269.340235
Fe II,269.348399
Fe II,269.385659
Fe II,269.404699
Fe II,269.418379
Fe II,269.424907
Fe II,269.506115
Fe II,269.612305
Fe II,269.659208
Fe I,269.702081
Fe II,269.732995
Fe II,269.746068
Fe II,269.773048
Fe II,269.779766
Fe II,269.828519
Fe II,269.89465
Fe I,269.910641
Fe II,269.92033
Fe II,269.937586
Fe II,269.962263
Fe II,269.997123
Fe II,270.035603
Fe II,270.154206
Fe I,270.190919
Fe II,270.240566
Fe I,270.244950
Fe II,270.301538
Fe II,270.398885
Fe II,270.457673
Fe II,270.475601
Fe II,270.486542
Fe II,270.509284
Fe I,270.601226
Fe II,270.608046
Fe I,270.658205
Fe II,270.681914
Fe II,270.691406
Fe II,270.713280
Fe II,270.757868
Fe II,270.799969
Fe II,270.841702
Fe I,270.857054
Fe II,270.872445
Fe II,270.905556
Fe II,270.969122
Fe II,270.992783
Fe II,271.003685
Fe I,271.054351
Fe II,271.076622
Fe II,271.093927
Fe I,271.165486
Fe II,271.184122
Fe II,271.229613
Fe II,271.239033
Fe II,271.314969
Fe II,271.363940
Fe II,271.441263
Fe II,271.568453
Fe II,271.621710
Fe I,271.625767
Fe I,271.641821
Fe II,271.643998
Fe II,271.656437
Fe II,271.696595
Fe II,271.75572
Fe I,271.778632
Fe II,271.787366
Fe II,271.792879
Fe II,271.797109
Fe I,271.843604
Fe II,271.86410
Fe II,271.883285
Fe II,271.900257
Fe I,271.902720
Fe I,271.906026
Fe II,271.919672
Fe II,271.930183
Fe I,271.941996
Fe II,272.045539
Fe II,272.077785
Fe I,272.090204
Fe II,272.181300
Fe II,272.206232
Fe II,272.27403
Fe II,272.341711
Fe I,272.357709
Fe II,272.46056
Fe II,272.469544
Fe II,272.488383
Fe I,272.495309
Fe II,272.50989
Fe II,272.564511
Fe I,272.580654
Fe I,272.605496
Fe II,272.62654
Fe II,272.651857
Fe II,272.681931
Fe II,272.738311
Fe II,272.753883
Fe II,272.771546
Fe II,272.793479
Fe I,272.802081
Fe II,272.874343
Fe I,272.881978
Fe II,272.890525
Fe II,272.932887
Fe II,272.95820
Fe II,272.987118
Fe II,273.069936
Fe II,273.073388
Fe I,273.098172
Fe II,273.124332
Fe I,273.128153
Fe II,273.14774
Fe II,273.200828
Fe II,273.29409
Fe II,273.350755
Fe I,273.358020
Fe I,273.400538
Fe II,273.445679
Fe II,273.48111
Fe II,273.508853
Fe II,273.541866
Fe I,273.547518
Fe II,273.639754
Fe II,273.648644
Fe II,273.696590
Fe I,273.730891
Fe I,273.763973
Fe II,273.866207
Fe II,273.891171
Fe II,273.892785
Fe II,273.90448
Fe II,273.91069
Fe II,273.94188
Fe II,273.951076
Fe II,273.954713
Fe II,273.998246
Fe II,274.027682
Fe II,274.087931
Fe II,274.13205
Fe II,274.139391
Fe II,274.168546
Fe I,274.225398
Fe I,274.240512
Fe II,274.247238
Fe II,274.265936
Fe II,274.27247
Fe II,274.284756
Fe II,274.319665
Fe II,274.322148
Fe I,274.356519
Fe I,274.406714
Fe II,274.41929
Fe I,274.452716
Fe II,274.46507
Fe II,274.489547
Fe II,274.494165
Fe II,274.528094
Fe II,274.536539
Fe II,274.550080
Fe II,274.586996
Fe II,274.612515
Fe II,274.62470
Fe II,274.63582
Fe II,274.648342
Fe II,274.651725
Fe II,274.698160
Fe I,274.700224
Fe II,274.712147
Fe II,274.742405
Fe II,274.79521
Fe II,274.805689
Fe II,274.820134
Fe II,274.894142
Fe II,274.918070
Fe II,274.932122
Fe II,274.935226
Fe II,274.943415
Fe II,274.948575
Fe II,275.000672
Fe I,275.014032
Fe II,275.091477
Fe II,275.112505
Fe II,275.13849
Fe II,275.14392
Fe II,275.210493
Fe II,275.214909
Fe II,275.30311
Fe II,275.328741
Fe I,275.368672
Fe II,275.37593
Fe I,275.403198
Fe I,275.442688
Fe II,275.488844
Fe II,275.507169
Fe I,275.518110
Fe II,275.52525
Fe II,275.573622
Fe II,275.616103
Fe I,275.632792
Fe II,275.651041
Fe II,275.702981
Fe I,275.731536
Fe II,275.807490
Fe II,275.829788
Fe II,275.856763
Fe II,275.87489
Fe II,275.887490
Fe II,275.947913
Fe I,275.981357
Fe I,276.061603
Fe II,276.071575
Fe II,276.118243
Fe II,276.144902
Fe I,276.177959
Fe II,276.181279
Fe I,276.202644
Fe II,276.226838
Fe II,276.233253
Fe II,276.244662
Fe II,276.254197
Fe I,276.310954
Fe II,276.354953
Fe II,276.365565
Fe II,276.391263
Fe II,276.398591
Fe II,276.415405
Fe II,276.479120
Fe II,276.512791
Fe II,276.522092
Fe II,276.541598
Fe II,276.549721
Fe II,276.59919
Fe II,276.63732
Fe II,276.644639
Fe I,276.690911
Fe II,276.741602
Fe II,276.750231
Fe II,276.751188
Fe I,276.752184
Fe II,276.821189
Fe II,276.833339
Fe II,276.878594
Fe II,276.893431
Fe II,276.915233
Fe I,276.929800
Fe II,276.933321
Fe II,276.935579
Fe II,276.980888
Fe II,276.983366
Fe II,277.029545
Fe II,277.050554
Fe II,277.118476
Fe II,277.155393
Fe I,277.207371
Fe I,277.210984
Fe II,277.21161
Fe II,277.229880
Fe II,277.36603
Fe II,277.468583
Fe I,277.472944
Fe II,277.518877
Fe II,277.52868
Fe II,277.593267
Fe II,277.617798
Fe II,277.682452
Fe II,277.690787
Fe II,277.788838
Fe I,277.822004
Fe II,277.829247
Fe II,277.854723
Fe II,277.929919
Fe II,277.978067
Fe II,277.99052
Fe II,278.00441
Fe I,278.069735
Fe I,278.183563
Fe II,278.34030
Fe II,278.369059
Fe II,278.396653
Fe II,278.427651
Fe I,278.434041
Fe II,278.447159
Fe II,278.482256
Fe II,278.519187
Fe II,278.722695
Fe II,278.724066
Fe I,278.793144
Fe I,278.810461
Fe I,278.980132
Fe II,279.004449
Fe II,279.01858
Fe II,279.055749
Fe I,279.239871
Fe II,279.296410
Fe II,279.32429
Fe II,279.336790
Fe II,279.378689
Fe II,279.378705
Fe II,279.388699
Fe II,279.392861
Fe I,279.470189
Fe I,279.553986
Fe II,279.662781
Fe II,279.719594
Fe II,279.742364
Fe I,279.777518
Fe II,279.791629
Fe II,279.900452
Fe II,279.914669
Fe II,279.929445
Fe II,279.936829
Fe II,279.997682
Fe II,280.053681
Fe II,280.148167
Fe II,280.343055
Fe I,280.361272
Fe II,280.379374
Fe II,280.402003
Fe I,280.452009
Fe I,280.486239
Fe II,280.499910
Fe II,280.51196
Fe II,280.531864
Fe II,280.578697
Fe I,280.698400
Fe II,280.717175
Fe II,280.751984
Fe II,280.75968
Fe II,280.944278
Fe II,280.978237
Fe II,281.126868
Fe I,281.20417
Fe II,281.249332
Fe II,281.308488
Fe I,281.328628
Fe II,281.361632
Fe II,281.422495
Fe II,281.476879
Fe I,281.550654
Fe II,281.646987
Fe II,281.661509
Fe II,281.708677
Fe I,281.750365
Fe II,281.825357
Fe II,281.917798
Fe II,281.934307
Fe II,281.990636
Fe II,282.068995
Fe II,282.205821
Fe I,282.327574
Fe II,282.332807
Fe II,282.386798
Fe II,282.413563
Fe II,282.456868
Fe I,282.555564
Fe II,282.574791
Fe II,282.602703
Fe II,282.742796
Fe II,282.862643
Fe II,282.867744
Fe I,282.880813
Fe II,283.156086
Fe II,283.187819
Fe I,283.243532
Fe II,283.308469
Fe II,283.319143
Fe I,283.475311
Fe II,283.500378
Fe II,283.510123
Fe II,283.571128
Fe II,283.589867
Fe I,283.595008
Fe II,283.618988
Fe II,283.651160
Fe II,283.729801
Fe I,283.811948
Fe II,283.821563
Fe II,283.951284
Fe II,283.979925
Fe II,284.002173
Fe II,284.034380
Fe II,284.064950
Fe II,284.075842
Fe I,284.093707
Fe II,284.207794
Fe II,284.331628
Fe II,284.347871
Fe I,284.363058
Fe II,284.377854
Fe II,284.392303
Fe I,284.397643
Fe II,284.495678
Fe II,284.538259
Fe II,284.542453
Fe II,284.54877
Fe II,284.559529
Fe I,284.559425
Fe II,284.693481
Fe II,284.777326
Fe II,284.788350
Fe II,284.805096
Fe II,284.806833
Fe II,284.810597
Fe II,284.831972
Fe I,284.871461
Fe II,284.890426
Fe II,284.917230
Fe II,284.956482
Fe II,284.960454
Fe II,285.071157
Fe II,285.140819
Fe II,285.172165
Fe I,285.179684
Fe II,285.26217
Fe II,285.286420
Fe II,285.320637
Fe I,285.37716
Fe II,285.41109
Fe II,285.44368
Fe II,285.541204
Fe II,285.566745
Fe II,285.568965
Fe II,285.614776
Fe II,285.637705
Fe II,285.673575
Fe II,285.690860
Fe II,285.717436
Fe II,285.742053
Fe II,285.834051
Fe II,285.85242
Fe II,285.862882
Fe II,285.880234
Fe II,286.155672
Fe I,286.249452
Fe II,286.295065
Fe II,286.310817
Fe I,286.342974
Fe II,286.412258
Fe II,286.432264
Fe II,286.473905
Fe II,286.497139
Fe II,286.545894
Fe II,286.62008
Fe II,286.653872
Fe I,286.662471
Fe I,286.730930
Fe I,286.756164
Fe II,286.77441
Fe II,286.805708
Fe II,286.835457
Fe I,286.845391
Fe II,286.915760
Fe II,286.931212
Fe II,286.969890
Fe II,287.008669
Fe II,287.072297
Fe II,287.075463
Fe II,287.106018
Fe II,287.113077
Fe II,287.127286
Fe II,287.225615
Fe I,287.233374
Fe II,287.238500
Fe II,287.339744
Fe II,287.519902
Fe I,287.530190
Fe II,287.534774
Fe II,287.65541
Fe II,287.680324
Fe II,287.71503
Fe I,287.730061
Fe II,287.924457
Fe II,288.012337
Fe II,288.075633
Fe II,288.082973
Fe II,288.118474
Fe II,288.250544
Fe II,288.274799
Fe II,288.285657
Fe II,288.371030
Fe I,288.374765
Fe II,288.40260
Fe II,288.409967
Fe II,288.417372
Fe II,288.426884
Fe II,288.476457
Fe II,288.502916
Fe II,288.593241
Fe I,288.631663
Fe II,288.697264
Fe II,288.731404
Fe II,288.764830
Fe I,288.78048
Fe I,288.795654
Fe II,288.809485
Fe II,288.865119
Fe II,288.916522
Fe II,288.938376
Fe I,289.247758
Fe II,289.318135
Fe I,289.450402
Fe II,289.477812
Fe I,289.503472
Fe II,289.508731
Fe II,289.521926
Fe II,289.535016
Fe II,289.646525
Fe II,289.726470
Fe II,289.758623
Fe II,289.794717
Fe II,289.798649
Fe II,289.832392
Fe II,289.873548
Fe II,289.925629
Fe I,289.941447
Fe II,290.020795
Fe II,290.065556
Fe II,290.102771
Fe I,290.138059
Fe I,290.191002
Fe II,290.220623
Fe II,290.246291
Fe I,290.408629
Fe II,290.455620
Fe II,290.484350
Fe II,290.549951
Fe II,290.574367
Fe II,290.612387
Fe I,290.751736
Fe II,290.837104
Fe I,290.885580
Fe II,291.068574
Fe II,291.076106
Fe I,291.092577
Fe II,291.101605
Fe II,291.155460
Fe II,291.179562
Fe I,291.215723
Fe I,291.225641
Fe I,291.430336
Fe II,291.622465
Fe II,291.708507
Fe II,291.783366
Fe I,291.80246
Fe II,291.852878
Fe I,291.984079
Fe II,292.018401
Fe I,292.069081
Fe II,292.202269
Fe I,292.32855
Fe I,292.385240
Fe I,292.535761
Fe II,292.658526
Fe II,292.784993
Fe II,292.795824
Fe II,292.850170
Fe I,292.900692
Fe I,292.91177
Fe II,293.027331
Fe II,293.414701
Fe II,293.588320
Fe I,293.690315
Fe II,293.884951
Fe II,294.011310
Fe II,294.090670
Fe II,294.098257
Fe I,294.134264
Fe II,294.148960
Fe II,294.293817
Fe II,294.439523
