Spectrum  ,      Observed Wavelength Air (nm)     ,        Ritz  Wavelength Air (nm)   
Fe I      ,         413.4420   ,         413.441953 
Fe I      ,         413.46773  ,         413.467722 
Fe I      ,         413.65211  ,         413.652047 
Fe I      ,         413.69974  ,         413.699755 
Fe I      ,         414.2589   ,         414.25874  
          ,                    ,                    
Fe I      ,         414.34143  ,         414.341445 
Fe I      ,         414.38678  ,         414.386752 
Fe I      ,         414.93648  ,         414.936469 
Fe I      ,         415.02488  ,         415.024873 
Fe I      ,         415.38994  ,         415.389948 
          ,                    ,                    
Fe I      ,         415.44984  ,         415.449849 
Fe I      ,         415.48052  ,         415.480514 
Fe I      ,         415.67985  ,         415.679861 
Fe I      ,         415.77798  ,         415.777954 
Fe I      ,         415.87922  ,         415.879208 
          ,                    ,                    
Fe I      ,         416.89413  ,         416.894277 
Fe I      ,         416.9756   ,         416.975708 
Fe I      ,         417.09015  ,         417.090127 
Fe I      ,         417.16905  ,         417.16902  
Fe I      ,         417.18990  ,         417.18993  
          ,                    ,                    
Fe I      ,         417.21219  ,         417.212183 
Fe I      ,         417.26405  ,         417.264025 
Fe I      ,         417.33148  ,         417.331471 
Fe I      ,         417.56358  ,         417.563572 
Fe I      ,         418.17544  ,         418.175449 
          ,                    ,                    
Fe I      ,         418.23823  ,         418.238239 
Fe I      ,         418.27575  ,         418.275792 
Fe I      ,         418.48915  ,         418.489130 
Fe I      ,         418.70387  ,         418.703842 
Fe I      ,         418.75868  ,         418.758722 
          ,                    ,                    
Fe I      ,         418.77952  ,         418.779491 
Fe I      ,         418.95563  ,         418.955784 
Fe I      ,         419.14304  ,         419.142997 
Fe I      ,         419.16763  ,         419.167654 
Fe I      ,         419.53288  ,         419.532874 
          ,                    ,                    
Fe I      ,         419.56176  ,         419.561750 
Fe I      ,         419.62081  ,         419.620852 
Fe I      ,         419.82466  ,         419.824651 
Fe I      ,         419.83041  ,         419.830363 
Fe I      ,         419.86338  ,         419.863389 
          ,                    ,                    
Fe I      ,         419.9095   ,         419.909489 
Fe I      ,         420.09239  ,         420.092401 
Fe I      ,         420.20289  ,         420.202885 
Fe I      ,         420.39380  ,         420.39380  
Fe I      ,         420.39845  ,         420.398445 
          ,                    ,                    
Fe I      ,         420.55382  ,         420.553882 
Fe I      ,         420.71268  ,         420.712709 
Fe I      ,         421.03433  ,         421.03430  
Fe I      ,         421.03830  ,         421.03829  
Fe I      ,         421.36471  ,         421.36476  
          ,                    ,                    
Fe I      ,         421.75453  ,         421.75454  
Fe I      ,         421.93601  ,         421.93595  
Fe I      ,         422.0049   ,         422.00483  
Fe I      ,         422.03414  ,         422.03412  
Fe I      ,         422.22128  ,         422.22127  
          ,                    ,                    
Fe I      ,         422.41714  ,         422.41711  
Fe I      ,         422.45125  ,         422.45128  
Fe I      ,         422.54540  ,         422.54541  
Fe I      ,         422.59554  ,         422.59555  
Fe I      ,         422.64237  ,         422.64241  
          ,                    ,                    
Fe I      ,         422.74263  ,         422.74264  
Fe I      ,         422.95100  ,         422.95093  
Fe I      ,         423.36025  ,         423.36021  
Fe I      ,         423.53870  ,         423.53857  
Fe I      ,         423.59367  ,         423.59361  
          ,                    ,                    
Fe I      ,         423.88097  ,         423.88096  
Fe I      ,         423.93610  ,         423.93617  
Fe I      ,         424.03705  ,         424.03704  
Fe I      ,         424.27291  ,         424.27294  
Fe I      ,         424.38159  ,         424.38152  
          ,                    ,                    
Fe I      ,         424.52569  ,         424.52573  
Fe I      ,         424.53441  ,         424.53440  
Fe I      ,         424.60847  ,         424.60841  
Fe I      ,         424.74253  ,         424.74250  
Fe I      ,         424.82238  ,         424.82237  
          ,                    ,                    
Fe I      ,         425.01192  ,         425.01188  
Fe II     ,         425.0429   ,         425.042546 
Fe I      ,         425.07866  ,         425.07864  
Fe I      ,         425.99989  ,         425.99989  
Fe I      ,         426.01349  ,         426.01350  
          ,                    ,                    
Fe I      ,         426.04741  ,         426.04736  
Fe I      ,         426.42032  ,         426.42033  
Fe I      ,         426.78262  ,         426.78263  
Fe I      ,         426.87485  ,         426.87486  
Fe I      ,         427.11535  ,         427.11531  
          ,                    ,                    
Fe I      ,         427.17602  ,         427.17599  
Fe I      ,         427.66758  ,         427.66743  
Fe I      ,         427.82311  ,         427.82300  
Fe I      ,         427.9488   ,         427.94878  
Fe I      ,         428.24026  ,         428.24026  
          ,                    ,                    
Fe I      ,         428.54417  ,         428.54415  
Fe I      ,         428.5822   ,         428.58234  
Fe I      ,         429.41245  ,         429.41244  
Fe I      ,         429.80362  ,         429.80364  
Fe I      ,         429.9235   ,         429.92340  
          ,                    ,                    
Fe I      ,         430.54502  ,         430.54501  
Fe I      ,         430.79020  ,         430.79017  
Fe I      ,         430.90304  ,         430.90303  
Fe I      ,         430.93742  ,         430.93741  
Fe I      ,         431.0374   ,         431.03717  
          ,                    ,                    
Fe I      ,         431.50843  ,         431.50844  
Fe I      ,         432.57616  ,         432.57616  
Fe I      ,         432.70953  ,         432.70954  
Fe I      ,         433.70460  ,         433.70454  
Fe I      ,         434.3271   ,         434.32708  
          ,                    ,                    
Fe I      ,         434.78323  ,         434.78332  
Fe I      ,         435.27344  ,         435.27345  
Fe II     ,         435.8162   ,         435.81630  
Fe I      ,         436.08029  ,         436.08040  
Fe I      ,         436.75782  ,         436.75781  
          ,                    ,                    
Fe I      ,         436.97715  ,         436.97716  
Fe I      ,         437.35604  ,         437.35605  
Fe I      ,         438.27677  ,         438.27676  
Fe I      ,         438.35447  ,         438.35444  
Fe I      ,         438.78909  ,         438.78908  
          ,                    ,                    
Fe I      ,         438.84065  ,         438.84066  
Fe I      ,         439.09502  ,         439.09503  
Fe I      ,         439.1863   ,         439.18610  
Fe II     ,         439.5137   ,         439.51338  
Fe I      ,         439.52738  ,         439.52739  
          ,                    ,                    
Fe I      ,         440.12896  ,         440.12897  
Fe I      ,         440.47501  ,         440.47498  
Fe I      ,         440.84132  ,         440.84132  
Fe I      ,         441.51222  ,         441.51221  
Fe I      ,         442.25678  ,         442.25677  
          ,                    ,                    
Fe I      ,         442.38405  ,         442.38410  
Fe I      ,         443.01888  ,         443.01887  
Fe I      ,         443.06137  ,         443.06136  
Fe I      ,         443.32184  ,         443.32183  
Fe I      ,         443.37821  ,         443.37818  
          ,                    ,                    
Fe I      ,         443.83430  ,         443.83425  
Fe I      ,         444.08236  ,         444.08243  
Fe I      ,         444.23387  ,         444.23386  
Fe I      ,         444.3194   ,         444.31938  
Fe I      ,         444.68318  ,         444.68319  
          ,                    ,                    
Fe I      ,         444.77170  ,         444.77169  
Fe I      ,         445.03153  ,         445.03156  
Fe I      ,         445.43807  ,         445.43808  
Fe I      ,         445.50270  ,         445.50269  
Fe I      ,         445.91173  ,         445.91170  
          ,                    ,                    
Fe I      ,         446.1970   ,         446.19682  
Fe I      ,         446.65515  ,         446.65510  
Fe I      ,         446.69383  ,         446.69374  
Fe I      ,         446.93753  ,         446.93754  
Fe II     ,         446.95870  ,         446.95864  
          ,                    ,                    
Fe I      ,         447.60183  ,         447.60184  
Fe I      ,         448.16090  ,         448.16089  
Fe I      ,         448.22524  ,         448.22523  
Fe I      ,         448.27390  ,         448.27389  
Fe I      ,         448.42195  ,         448.42198  
          ,                    ,                    
Fe I      ,         448.56753  ,         448.56756  
Fe I      ,         448.81328  ,         448.81335  
Fe I      ,         449.00837  ,         449.00840  
Fe I      ,         449.26780  ,         449.26783  
Fe I      ,         449.45629  ,         449.45628  
          ,                    ,                    
Fe I      ,         449.59528  ,         449.59525  
Fe I      ,         451.75242  ,         451.75239  
Fe I      ,         452.86139  ,         452.86136  
Fe I      ,         454.78471  ,         454.78468  
Fe II     ,         454.94665  ,         454.946630 
          ,                    ,                    
Fe I      ,         455.61256  ,         455.61259  
Fe I      ,         459.60602  ,         459.60598  
Fe II     ,         459.84853  ,         459.848536 
Fe I      ,         461.32024  ,         461.32025  
Fe I      ,         461.92877  ,         461.92880  
          ,                    ,                    
Fe II     ,         462.8779   ,         462.877700 
Fe II     ,         463.53177  ,         463.53170  
Fe I      ,         463.75030  ,         463.75029  
Fe I      ,         463.8010   ,         463.80096  
Fe I      ,         464.34631  ,         464.34634  
          ,                    ,                    
Fe I      ,         464.74339  ,         464.74340  
Fe I      ,         465.4605   ,         465.46080  
Fe I      ,         466.15341  ,         466.15348  
Fe I      ,         466.74528  ,         466.74533  
Fe I      ,         466.91708  ,         466.91724  
          ,                    ,                    
Fe I      ,         467.31633  ,         467.31636  
Fe I      ,         467.88455  ,         467.88456  
Fe I      ,         469.0138   ,         469.01375  
Fe I      ,         469.14114  ,         469.14115  
Fe I      ,         470.49478  ,         470.49477  
          ,                    ,                    
Fe I      ,         471.02830  ,         471.02833  
Fe I      ,         471.4070   ,         471.40672  
Fe I      ,         472.73943  ,         472.73989  
Fe I      ,         472.85454  ,         472.85457  
Fe I      ,         473.40977  ,         473.40980  
          ,                    ,                    
Fe I      ,         473.58436  ,         473.58428  
Fe I      ,         473.67731  ,         473.67727  
Fe I      ,         474.57998  ,         474.57996  
Fe I      ,         474.99474  ,         474.99480  
Fe I      ,         477.94391  ,         477.94389  
          ,                    ,                    
Fe I      ,         478.68067  ,         478.68067  
Fe I      ,         478.96505  ,         478.96508  
Fe I      ,         479.82646  ,         479.82647  
Fe I      ,         480.06487  ,         480.06485  
Fe I      ,         480.28794  ,         480.28802  
          ,                    ,                    
Fe II     ,         482.08278  ,         482.082739 
Fe II     ,         482.61366  ,         482.613638 
Fe II     ,         482.66825  ,         482.668232 
Fe II     ,         482.91081  ,         482.910829 
Fe I      ,         483.27273  ,         483.27274  
          ,                    ,                    
Fe I      ,         483.58676  ,         483.58672  
Fe I      ,         483.85115  ,         483.85113  
Fe I      ,         484.03214  ,         484.03210  
Fe II     ,         485.90296  ,         485.902832 
Fe I      ,         485.91215  ,         485.91214  
          ,                    ,                    
Fe I      ,         485.97411  ,         485.97414  
Fe II     ,         486.06798  ,         486.067972 
Fe II     ,         486.61989  ,         486.619912 
Fe II     ,         486.99690  ,         486.99685  
Fe I      ,         487.13179  ,         487.13178  
          ,                    ,                    
Fe I      ,         487.21375  ,         487.21373  
Fe I      ,         487.82108  ,         487.82107  
Fe II     ,         488.31840  ,         488.318004 
Fe II     ,         488.32923  ,         488.32924  
Fe I      ,         489.07548  ,         489.07549  
          ,                    ,                    
Fe I      ,         489.14921  ,         489.14920  
Fe II     ,         490.10537  ,         490.10530  
Fe I      ,         490.33099  ,         490.33097  
Fe II     ,         490.81454  ,         490.814553 
Fe I      ,         491.17791  ,         491.17787  
          ,                    ,                    
Fe II     ,         491.1957   ,         491.195821 
Fe II     ,         491.3184   ,         491.318189 
Fe II     ,         491.32951  ,         491.329562 
Fe I      ,         491.72297  ,         491.72295  
Fe I      ,         491.80122  ,         491.80121  
          ,                    ,                    
Fe I      ,         491.89937  ,         491.89936  
Fe I      ,         492.05028  ,         492.05021  
Fe II     ,         492.21869  ,         492.21932  
Fe II     ,         492.39216  ,         492.392123 
Fe I      ,         493.03150  ,         493.03149  
          ,                    ,                    
Fe II     ,         493.70719  ,         493.706987 
Fe I      ,         493.88135  ,         493.88138  
Fe II     ,         494.2169   ,         494.216800 
Fe II     ,         494.5062   ,         494.50585  
Fe I      ,         494.56370  ,         494.56356  
          ,                    ,                    
Fe II     ,         494.68993  ,         494.68997  
Fe II     ,         494.80872  ,         494.808717 
Fe II     ,         494.87913  ,         494.879114 
Fe II     ,         495.15805  ,         495.158055 
Fe II     ,         495.26524  ,         495.266039 
          ,                    ,                    
Fe I      ,         495.72983  ,         495.72979  
Fe I      ,         495.75965  ,         495.75961  
Fe II     ,         495.88211  ,         495.88212  
Fe II     ,         495.95574  ,         495.955798 
Fe I      ,         496.25715  ,         496.25711  
          ,                    ,                    
Fe I      ,         496.60886  ,         496.60882  
Fe II     ,         496.93564  ,         496.93563  
Fe II     ,         497.12176  ,         497.12156  
Fe II     ,         497.13403  ,         497.13389  
Fe I      ,         497.31016  ,         497.31014  
          ,                    ,                    
Fe II     ,         497.42113  ,         497.421025 
Fe II     ,         497.70332  ,         497.70331  
Fe II     ,         497.79194  ,         497.79193  
Fe I      ,         497.86030  ,         497.86028  
Fe II     ,         498.44852  ,         498.448536 
          ,                    ,                    
Fe II     ,         498.45703  ,         498.45706  
Fe I      ,         498.52526  ,         498.52527  
Fe I      ,         498.55469  ,         498.55465  
Fe I      ,         498.62223  ,         498.62221  
Fe II     ,         498.72724  ,         498.72714  
          ,                    ,                    
Fe I      ,         498.89498  ,         498.89494  
Fe II     ,         499.05062  ,         499.05064  
Fe II     ,         499.14379  ,         499.143779 
Fe I      ,         499.36802  ,         499.36795  
Fe II     ,         499.91827  ,         499.918301 
          ,                    ,                    
Fe I      ,         500.18633  ,         500.18631  
Fe II     ,         500.19529  ,         500.19529  
Fe I      ,         500.40440  ,         500.40433  
Fe II     ,         500.41881  ,         500.41881  
Fe II     ,         500.47708  ,         500.477105 
          ,                    ,                    
Fe I      ,         500.61188  ,         500.61184  
Fe II     ,         500.68402  ,         500.684045 
Fe II     ,         500.74494  ,         500.744937 
Fe II     ,         500.77338  ,         500.773506 
Fe II     ,         500.89839  ,         500.89846  
          ,                    ,                    
Fe II     ,         501.00606  ,         501.006050 
Fe II     ,         501.10261  ,         501.102508 
Fe II     ,         501.1764   ,         501.177295 
Fe II     ,         501.1984   ,         501.19863  
Fe I      ,         501.49421  ,         501.49422  
          ,                    ,                    
Fe II     ,         501.57520  ,         501.57519  
Fe II     ,         501.84354  ,         501.84358  
Fe II     ,         502.00137  ,         502.001397 
Fe II     ,         502.15907  ,         502.15910  
Fe I      ,         502.1591   ,         502.15895  
          ,                    ,                    
Fe I      ,         502.22352  ,         502.22353  
Fe II     ,         502.24183  ,         502.241819 
Fe II     ,         502.27888  ,         502.278888 
Fe I      ,         502.31863  ,         502.31854  
Fe II     ,         502.3912   ,         502.391187 
          ,                    ,                    
Fe II     ,         502.67980  ,         502.679800 
Fe I      ,         502.77563  ,         502.77564  
Fe I      ,         502.81260  ,         502.81259  
Fe II     ,         502.90930  ,         502.90929  
Fe II     ,         503.06317  ,         503.063177 
          ,                    ,                    
Fe II     ,         503.18946  ,         503.18925  
Fe II     ,         503.27035  ,         503.270361 
Fe II     ,         503.40039  ,         503.40037  
Fe II     ,         503.4765   ,         503.47531  
Fe II     ,         503.56999  ,         503.57000  
          ,                    ,                    
Fe II     ,         503.67127  ,         503.671234 
Fe II     ,         504.07504  ,         504.07511  
Fe II     ,         504.51067  ,         504.51064  
Fe II     ,         504.76319  ,         504.763186 
Fe II     ,         504.84356  ,         504.84358  
          ,                    ,                    
Fe I      ,         504.8436   ,         504.84356  
Fe I      ,         504.98194  ,         504.98193  
Fe I      ,         505.68408  ,         505.68414  
Fe II     ,         506.02488  ,         506.024857 
Fe II     ,         506.17101  ,         506.170973 
          ,                    ,                    
Fe II     ,         506.29274  ,         506.292686 
Fe II     ,         506.51057  ,         506.51057  
Fe II     ,         506.78901  ,         506.789012 
Fe I      ,         506.87655  ,         506.87656  
Fe II     ,         507.08959  ,         507.089569 
          ,                    ,                    
Fe II     ,         507.25629  ,         507.25622  
Fe II     ,         507.38963  ,         507.38981  
Fe I      ,         507.47480  ,         507.47476  
Fe II     ,         507.57599  ,         507.57597  
Fe II     ,         507.6325   ,         507.63275  
          ,                    ,                    
Fe II     ,         507.65976  ,         507.65973  
Fe II     ,         507.82902  ,         507.82901  
Fe II     ,         508.02220  ,         508.02317  
Fe II     ,         508.18976  ,         508.189847 
Fe II     ,         508.22264  ,         508.222657 
          ,                    ,                    
Fe II     ,         508.35020  ,         508.35022  
Fe II     ,         508.52134  ,         508.521581 
Fe II     ,         508.63071  ,         508.63074  
Fe II     ,         508.73000  ,         508.730025 
Fe II     ,         508.92129  ,         508.92128  
          ,                    ,                    
Fe II     ,         508.94930  ,         508.94931  
Fe I      ,         509.07736  ,         509.07727  
Fe II     ,         509.35719  ,         509.35724  
Fe II     ,         509.37819  ,         509.378235 
Fe II     ,         509.49012  ,         509.49012  
          ,                    ,                    
Fe II     ,         509.69048  ,         509.69050  
Fe II     ,         509.72737  ,         509.72743  
Fe I      ,         509.90770  ,         509.90768  
Fe II     ,         510.06116  ,         510.061173 
Fe II     ,         510.07339  ,         510.07343  
          ,                    ,                    
Fe II     ,         510.29053  ,         510.29078  
Fe I      ,         510.44372  ,         510.44372  
Fe II     ,         510.61061  ,         510.61082  
Fe II     ,         510.71080  ,         510.71080  
Fe II     ,         510.75413  ,         510.754243 
          ,                    ,                    
Fe II     ,         511.21540  ,         511.21549  
Fe II     ,         511.29992  ,         511.299889 
Fe II     ,         511.50615  ,         511.50612  
Fe II     ,         511.70311  ,         511.70311  
Fe II     ,         511.8682   ,         511.86819  
          ,                    ,                    
Fe II     ,         511.93338  ,         511.933460 
Fe I      ,         512.16388  ,         512.16386  
Fe I      ,         512.6193   ,         512.61922  
Fe II     ,         512.8753   ,         512.87627  
Fe I      ,         513.73818  ,         513.73814  
          ,                    ,                    
Fe I      ,         513.92511  ,         513.92504  
Fe I      ,         513.94625  ,         513.94620  
Fe II     ,         514.06902  ,         514.06907  
Fe II     ,         514.13768  ,         514.13773  
Fe II     ,         514.38745  ,         514.387456 
          ,                    ,                    
Fe II     ,         514.43515  ,         514.43515  
Fe II     ,         514.57299  ,         514.57306  
Fe II     ,         514.58220  ,         514.58220  
Fe II     ,         514.88987  ,         514.88984  
Fe II     ,         514.94624  ,         514.946227 
          ,                    ,                    
Fe II     ,         515.04811  ,         515.048129 
Fe II     ,         515.28719  ,         515.28727  
Fe II     ,         515.46797  ,         515.467992 
Fe II     ,         515.47408  ,         515.47413  
Fe II     ,         515.69121  ,         515.69143  
          ,                    ,                    
Fe II     ,         515.72834  ,         515.72862  
Fe II     ,         515.99088  ,         515.99087  
Fe II     ,         516.0776   ,         516.07725  
Fe I      ,         516.45503  ,         516.45514  
Fe II     ,         516.65511  ,         516.655135 
          ,                    ,                    
Fe I      ,         516.74881  ,         516.74879  
Fe II     ,         516.90282  ,         516.90282  
Fe II     ,         516.98008  ,         516.980158 
Fe II     ,         517.07762  ,         517.07762  
Fe II     ,         517.5000   ,         517.50005  
          ,                    ,                    
Fe II     ,         517.70181  ,         517.70188  
Fe II     ,         517.83741  ,         517.83743  
Fe II     ,         518.03116  ,         518.03117  
Fe II     ,         518.34878  ,         518.34884  
Fe I      ,         518.42657  ,         518.42658  
          ,                    ,                    
Fe II     ,         518.68670  ,         518.68671  
Fe I      ,         518.79138  ,         518.79142  
Fe II     ,         519.07350  ,         519.07358  
Fe II     ,         519.09147  ,         519.09145  
Fe I      ,         519.14546  ,         519.14542  
          ,                    ,                    
Fe I      ,         519.23439  ,         519.23434  
Fe II     ,         519.28561  ,         519.28561  
Fe II     ,         519.48884  ,         519.48864  
Fe II     ,         519.64398  ,         519.64399  
Fe I      ,         519.79369  ,         519.79354  
          ,                    ,                    
Fe II     ,         519.91186  ,         519.91191  
Fe II     ,         520.07977  ,         520.07977  
Fe II     ,         520.25911  ,         520.25913  
Fe II     ,         520.36342  ,         520.36342  
Fe I      ,         520.85936  ,         520.85937  
          ,                    ,                    
Fe II     ,         521.28315  ,         521.28308  
Fe II     ,         521.35337  ,         521.35341  
Fe II     ,         521.39516  ,         521.39518  
Fe II     ,         521.40546  ,         521.40559  
Fe II     ,         521.44901  ,         521.44905  
          ,                    ,                    
Fe I      ,         521.51803  ,         521.51801  
Fe II     ,         521.53470  ,         521.534741 
Fe II     ,         521.58459  ,         521.584563 
Fe II     ,         521.68585  ,         521.68579  
Fe II     ,         521.68585  ,         521.68587  
          ,                    ,                    
Fe I      ,         521.73890  ,         521.73891  
Fe I      ,         521.79189  ,         521.79190  
Fe II     ,         521.88415  ,         521.884132 
Fe II     ,         521.96930  ,         521.96928  
Fe II     ,         521.99197  ,         521.99199  
          ,                    ,                    
Fe II     ,         522.23518  ,         522.23508  
Fe I      ,         522.31851  ,         522.31825  
Fe II     ,         522.32604  ,         522.32559  
Fe II     ,         522.38035  ,         522.38037  
Fe II     ,         522.44038  ,         522.44042  
          ,                    ,                    
Fe II     ,         522.59630  ,         522.59629  
Fe I      ,         522.68620  ,         522.68612  
Fe I      ,         522.71891  ,         522.71889  
Fe II     ,         522.73174  ,         522.73171  
Fe II     ,         522.74857  ,         522.74855  
          ,                    ,                    
Fe II     ,         522.77614  ,         522.77605  
Fe I      ,         522.83764  ,         522.83754  
Fe II     ,         522.88916  ,         522.889114 
Fe II     ,         523.19118  ,         523.19114  
Fe II     ,         523.27809  ,         523.278145 
          ,                    ,                    
Fe I      ,         523.29400  ,         523.29398  
Fe I      ,         523.53864  ,         523.53870  
Fe I      ,         523.62038  ,         523.62017  
Fe II     ,         523.66210  ,         523.66213  
Fe II     ,         523.79490  ,         523.794901 
          ,                    ,                    
Fe II     ,         523.98074  ,         523.98074  
Fe II     ,         524.10540  ,         524.10545  
Fe I      ,         524.24907  ,         524.24905  
Fe I      ,         524.37766  ,         524.37758  
Fe II     ,         524.39227  ,         524.39233  
          ,                    ,                    
Fe II     ,         524.5172   ,         524.517071 
Fe II     ,         524.54544  ,         524.54550  
Fe II     ,         524.79553  ,         524.79558  
Fe I      ,         524.91051  ,         524.91049  
Fe II     ,         524.93400  ,         524.93400  
          ,                    ,                    
Fe II     ,         525.12252  ,         525.12257  
Fe I      ,         525.34614  ,         525.34617  
Fe II     ,         525.35177  ,         525.35189  
Fe II     ,         525.36484  ,         525.36489  
Fe II     ,         525.44014  ,         525.44022  
          ,                    ,                    
Fe II     ,         525.71189  ,         525.711889 
Fe II     ,         525.78927  ,         525.789335 
Fe II     ,         525.81212  ,         525.81221  
Fe II     ,         525.84196  ,         525.84196  
Fe II     ,         526.02544  ,         526.02544  
          ,                    ,                    
Fe II     ,         526.14557  ,         526.14550  
Fe II     ,         526.23130  ,         526.23128  
Fe II     ,         526.29556  ,         526.29555  
Fe I      ,         526.33059  ,         526.33060  
Fe II     ,         526.34905  ,         526.34906  
          ,                    ,                    
Fe II     ,         526.40195  ,         526.40199  
Fe II     ,         526.41791  ,         526.41790  
Fe II     ,         526.59808  ,         526.59850  
Fe I      ,         526.65550  ,         526.65543  
Fe II     ,         526.8400   ,         526.84058  
          ,                    ,                    
Fe I      ,         526.95370  ,         526.95366  
Fe II     ,         527.00318  ,         527.00313  
Fe I      ,         527.03560  ,         527.03561  
Fe II     ,         527.10984  ,         527.10986  
Fe II     ,         527.22212  ,         527.22203  
          ,                    ,                    
Fe I      ,         527.31632  ,         527.31633  
Fe II     ,         527.8229   ,         527.82298  
Fe II     ,         528.0932   ,         528.09327  
Fe I      ,         528.17900  ,         528.17895  
Fe I      ,         528.36207  ,         528.36207  
          ,                    ,                    
Fe II     ,         528.4073   ,         528.40707  
Fe II     ,         529.16609  ,         529.16610  
Fe II     ,         529.88574  ,         529.88573  
Fe I      ,         530.2299   ,         530.23001  
Fe II     ,         530.25366  ,         530.25377  
          ,                    ,                    
Fe II     ,         530.61820  ,         530.61824  
Fe II     ,         530.98705  ,         530.98730  
Fe II     ,         531.06301  ,         531.06309  
Fe II     ,         531.19092  ,         531.19081  
Fe II     ,         531.30996  ,         531.30991  
          ,                    ,                    
Fe II     ,         531.40243  ,         531.40252  
Fe II     ,         531.50804  ,         531.50830  
Fe II     ,         531.59904  ,         531.59908  
Fe II     ,         531.62139  ,         531.62138  
Fe II     ,         531.7561   ,         531.75593  
          ,                    ,                    
Fe II     ,         531.80545  ,         531.80546  
Fe II     ,         531.87387  ,         531.87387  
Fe I      ,         532.11076  ,         532.11074  
Fe II     ,         532.22361  ,         532.22366  
Fe I      ,         532.41787  ,         532.41785  
          ,                    ,                    
Fe I      ,         532.80383  ,         532.80381  
Fe II     ,         532.89359  ,         532.89370  
Fe II     ,         532.96492  ,         532.96481  
Fe I      ,         532.99887  ,         532.99894  
Fe II     ,         533.95943  ,         533.95943  
          ,                    ,                    
Fe I      ,         533.99290  ,         533.99291  
Fe II     ,         534.41077  ,         534.41087  
Fe II     ,         534.5738   ,         534.57364  
Fe II     ,         534.59536  ,         534.59523  
Fe II     ,         534.68578  ,         534.68575  
          ,                    ,                    
Fe II     ,         534.71873  ,         534.71875  
Fe I      ,         534.97373  ,         534.97371  
Fe II     ,         535.19322  ,         535.19303  
Fe II     ,         535.30733  ,         535.30737  
Fe II     ,         535.32538  ,         535.32532  
          ,                    ,                    
Fe II     ,         535.54209  ,         535.54206  
Fe II     ,         535.88719  ,         535.88724  
Fe II     ,         535.92474  ,         535.92476  
Fe II     ,         536.04795  ,         536.04798  
Fe I      ,         536.16248  ,         536.16249  
          ,                    ,                    
Fe II     ,         536.27509  ,         536.27474  
Fe II     ,         536.29698  ,         536.29701  
Fe I      ,         536.48709  ,         536.48704  
Fe I      ,         536.53987  ,         536.53985  
Fe II     ,         536.62087  ,         536.62086  
          ,                    ,                    
Fe II     ,         536.6877   ,         536.68767  
Fe I      ,         536.7466   ,         536.74654  
Fe II     ,         536.8911   ,         536.89096  
Fe I      ,         536.99615  ,         536.99607  
Fe II     ,         537.02772  ,         537.02789  
          ,                    ,                    
Fe II     ,         537.03163  ,         537.03176  
Fe II     ,         537.04338  ,         537.04350  
Fe II     ,         537.12772  ,         537.12735  
Fe I      ,         537.14893  ,         537.14891  
Fe I      ,         537.37082  ,         537.37083  
          ,                    ,                    
Fe II     ,         537.58423  ,         537.58319  
Fe II     ,         537.58423  ,         537.58481  
Fe II     ,         537.9251   ,         537.92455  
Fe I      ,         538.33688  ,         538.33680  
Fe II     ,         538.70633  ,         538.70629  
          ,                    ,                    
Fe II     ,         538.80268  ,         538.80263  
Fe II     ,         538.90321  ,         538.90312  
Fe II     ,         539.0201   ,         539.02019  
Fe II     ,         539.0363   ,         539.03582  
Fe II     ,         539.1978   ,         539.19767  
          ,                    ,                    
Fe I      ,         539.31673  ,         539.31670  
Fe II     ,         539.3578   ,         539.35776  
Fe II     ,         539.38401  ,         539.38407  
Fe II     ,         539.58546  ,         539.58544  
Fe II     ,         539.79392  ,         539.79387  
          ,                    ,                    
Fe II     ,         539.80593  ,         539.80582  
Fe I      ,         539.82791  ,         539.82786  
Fe II     ,         539.89400  ,         539.89403  
Fe II     ,         539.95618  ,         539.95618  
Fe II     ,         540.18855  ,         540.18862  
          ,                    ,                    
Fe II     ,         540.20576  ,         540.20573  
Fe II     ,         540.28926  ,         540.28926  
Fe I      ,         540.38212  ,         540.38218  
Fe I      ,         540.41513  ,         540.41508  
Fe II     ,         540.50921  ,         540.50904  
          ,                    ,                    
Fe II     ,         540.50921  ,         540.50963  
Fe II     ,         540.56611  ,         540.56603  
Fe I      ,         540.57749  ,         540.57743  
Fe I      ,         540.91332  ,         540.91327  
Fe I      ,         541.09095  ,         541.09092  
          ,                    ,                    
Fe II     ,         541.13735  ,         541.13773  
Fe II     ,         541.19700  ,         541.19684  
Fe II     ,         541.27429  ,         541.27426  
Fe II     ,         541.48521  ,         541.48523  
Fe I      ,         541.51989  ,         541.51984  
          ,                    ,                    
Fe I      ,         541.70328  ,         541.70364  
Fe II     ,         541.7639   ,         541.76415  
Fe I      ,         542.95041  ,         542.95033  
Fe II     ,         542.99873  ,         542.99869  
Fe I      ,         543.29475  ,         543.29476  
          ,                    ,                    
Fe I      ,         543.45235  ,         543.45233  
Fe II     ,         544.1056   ,         544.10556  
Fe II     ,         544.2258   ,         544.22567  
Fe II     ,         544.23593  ,         544.23589  
Fe II     ,         544.34443  ,         544.34435  
          ,                    ,                    
Fe II     ,         544.43870  ,         544.43868  
Fe II     ,         544.5298   ,         544.52978  
Fe II     ,         544.58007  ,         544.58003  
Fe II     ,         545.00949  ,         545.00950  
Fe II     ,         545.13167  ,         545.13165  
          ,                    ,                    
Fe II     ,         545.59302  ,         545.59302  
