Spectrum  ,      Observed Wavelength Air (nm)     ,        Ritz  Wavelength Air (nm)   
Fe II     ,         258.4164   ,         258.416528 
Fe I      ,         258.45359  ,         258.453576 
Fe II     ,         258.56201  ,         258.561956 
          ,                    ,                    
Fe II     ,         258.57607  ,         258.576073 
Fe II     ,         258.587560 ,         258.587553 
Fe II     ,         258.60598  ,         258.606002 
Fe II     ,         258.6775   ,         258.677438 
Fe II     ,         258.794906 ,         258.794912 
          ,                    ,                    
Fe II     ,         258.81915  ,         258.819115 
Fe II     ,         258.8273   ,         258.827466 
Fe II     ,         258.87162  ,         258.871631 
Fe II     ,         258.87963  ,         258.879468 
Fe II     ,         258.87963  ,         258.879624 
          ,                    ,                    
Fe II     ,         258.95314  ,         258.953236 
Fe II     ,         259.055077 ,         259.055074 
Fe II     ,         259.06432  ,         259.064276 
Fe II     ,         259.0969   ,         259.09573  
Fe II     ,         259.1219   ,         259.12173  
          ,                    ,                    
Fe II     ,         259.154258 ,         259.154254 
Fe II     ,         259.278411 ,         259.278409 
Fe II     ,         259.372778 ,         259.372753 
Fe I      ,         259.41508  ,         259.415106 
Fe II     ,         259.4337   ,         259.433755 
          ,                    ,                    
Fe II     ,         259.464595 ,         259.464589 
Fe II     ,         259.49651  ,         259.496508 
Fe II     ,         259.53022  ,         259.530282 
Fe II     ,         259.60533  ,         259.605338 
Fe II     ,         259.6458   ,         259.64588  
          ,                    ,                    
Fe II     ,         259.66783  ,         259.667824 
Fe II     ,         259.7097   ,         259.70904  
Fe II     ,         259.74480  ,         259.744843 
Fe II     ,         259.7668   ,         259.766550 
Fe II     ,         259.79454  ,         259.794547 
          ,                    ,                    
Fe II     ,         259.80329  ,         259.803109 
Fe II     ,         259.836894 ,         259.836884 
Fe II     ,         259.8757   ,         259.875606 
Fe II     ,         259.939515 ,         259.939511 
Fe II     ,         259.947056 ,         259.947113 
          ,                    ,                    
Fe I      ,         259.95667  ,         259.956642 
Fe II     ,         260.04257  ,         260.042519 
Fe II     ,         260.13511  ,         260.135180 
Fe II     ,         260.15426  ,         260.154420 
Fe II     ,         260.1591   ,         260.159349 
          ,                    ,                    
Fe II     ,         260.2201   ,         260.220205 
Fe II     ,         260.27844  ,         260.278501 
Fe II     ,         260.31700  ,         260.31710  
Fe II     ,         260.4048   ,         260.405528 
Fe II     ,         260.40679  ,         260.40665  
          ,                    ,                    
Fe II     ,         260.46690  ,         260.466848 
Fe II     ,         260.503762 ,         260.503757 
Fe II     ,         260.531027 ,         260.531023 
Fe II     ,         260.542486 ,         260.542486 
Fe I      ,         260.56571  ,         260.565678 
          ,                    ,                    
Fe II     ,         260.59033  ,         260.590437 
Fe II     ,         260.651588 ,         260.651590 
Fe I      ,         260.68261  ,         260.682632 
Fe II     ,         260.708686 ,         260.708691 
Fe II     ,         260.72133  ,         260.721339 
          ,                    ,                    
Fe II     ,         260.752878 ,         260.752868 
Fe II     ,         260.7882   ,         260.787819 
Fe II     ,         260.8405   ,         260.84064  
Fe II     ,         260.8540   ,         260.853299 
Fe II     ,         260.88521  ,         260.885234 
          ,                    ,                    
Fe II     ,         260.90373  ,         260.903727 
Fe II     ,         260.912549 ,         260.912546 
Fe I      ,         260.92208  ,         260.92201  
Fe II     ,         260.94402  ,         260.944014 
Fe II     ,         260.98655  ,         260.986565 
          ,                    ,                    
Fe II     ,         261.05106  ,         261.05092  
Fe II     ,         261.0833   ,         261.083527 
Fe II     ,         261.10028  ,         261.100269 
Fe II     ,         261.107256 ,         261.107256 
Fe II     ,         261.13414  ,         261.134160 
          ,                    ,                    
Fe II     ,         261.187336 ,         261.187335 
Fe II     ,         261.27136  ,         261.271257 
Fe II     ,         261.29622  ,         261.29608  
Fe II     ,         261.3331   ,         261.332750 
Fe II     ,         261.35708  ,         261.357068 
          ,                    ,                    
Fe II     ,         261.382402 ,         261.382399 
