wavelengths,intensities
279.0385084366848,1454.0
279.11238143323374,1409.0
279.18624818298923,1435.0
279.2601086859513,1700.0
279.33396294212,2233.0
279.40781095149526,2875.0
279.4816527140772,2708.0
279.5554882298657,2137.0
279.6293174988608,1971.0
279.7031405210625,2007.0
279.7769572964708,1755.0
279.8507678250857,1549.0
279.92457210690725,1523.0
279.9983701419353,1660.0
280.07216193017,2157.0
280.14594747161135,2546.0
280.2197267662592,2139.0
280.2934998141137,1570.0
280.3672666151748,1312.0
280.4410271694425,1177.0
280.5147814769168,1137.0
280.5885295375977,1097.0
280.66227135148523,1073.0
280.73600691857933,1033.0
280.80973623888,1014.0
280.8834593123873,1015.0
280.9571761391012,1010.0
281.0308867190217,996.0
281.1045910521488,995.0
281.1782891384825,1005.0
281.2519809780228,989.0
281.3256665707697,985.0
281.39934591672323,998.0
281.4730190158833,1007.0
281.54668586825005,1006.0
281.62034647382336,989.0
281.6940008326032,995.0
281.7676489445897,1004.0
281.8412908097828,971.0
281.9149264281825,976.0
281.9885557997888,972.0
282.0621789246017,961.0
282.1357958026212,953.0
282.20940643384733,952.0
282.28301081828005,926.0
282.3566089559193,941.0
282.4302008467652,951.0
282.5037864908177,943.0
282.5773658880768,944.0
282.6509390385425,932.0
282.7245059422148,922.0
282.7980665990937,951.0
282.87162100917925,948.0
282.9451691724713,957.0
283.01871108897,950.0
283.09224675867534,949.0
283.1657761815872,942.0
283.2392993577057,923.0
283.3128162870308,936.0
283.3863269695625,939.0
283.4598314053008,949.0
283.53332959424574,935.0
283.6068215363972,953.0
283.6803072317553,945.0
283.75378668032005,968.0
283.8272598820913,928.0
283.9007268370692,946.0
283.9741875452537,957.0
284.0476420066448,952.0
284.1210902212425,935.0
284.1945321890468,928.0
284.26796791005773,946.0
284.34139738427524,941.0
284.4148206116993,946.0
284.48823759233005,938.0
284.56164832616736,932.0
284.6350528132112,953.0
284.7084510534617,971.0
284.7818430469188,982.0
284.8552287935825,990.0
284.92860829345284,1049.0
285.0019815465297,1142.0
285.07534855281324,1271.0
285.1487093123033,1265.0
285.222063825,1107.0
285.2954120909033,1026.0
285.3687541100132,987.0
285.4420898823297,984.0
285.5154194078528,956.0
285.5887426865825,965.0
285.66205971851883,949.0
285.7353705036617,942.0
285.8086750420112,966.0
285.8819733335673,940.0
285.95526537833,934.0
286.02855117629935,933.0
286.1018307274752,933.0
286.1751040318577,942.0
286.2483710894468,909.0
286.3216319002425,915.0
286.3948864642448,936.0
286.4681347814537,932.0
286.54137685186925,918.0
286.61461267549134,941.0
286.68784225232,929.0
286.7610655823553,937.0
286.8342826655972,920.0
286.90749350204567,933.0
286.9806980917008,952.0
287.0538964345625,941.0
287.12708853063083,939.0
287.2002743799057,943.0
287.2734539823872,935.0
287.34662733807534,931.0
287.41979444697006,945.0
287.49295530907136,941.0
287.5661099243792,958.0
287.6392582928937,961.0
287.7124004146148,971.0
287.7855362895425,973.0
287.85866591767683,1033.0
287.93178929901774,1181.0
288.0049064335652,1379.0
288.07801732131935,1480.0
288.15112196228006,1269.0
288.2242203564473,1126.0
288.2973125038212,1036.0
288.37039840440167,1010.0
288.4434780581888,998.0
288.5165514651825,975.0
288.5896186253828,970.0
288.66267953878975,983.0
288.7357342054032,934.0
288.80878262522333,950.0
288.88182479825,964.0
288.95486072448335,945.0
289.0278904039232,938.0
289.1009138365697,933.0
289.1739310224228,937.0
289.2469419614825,927.0
289.3199466537488,928.0
289.3929450992217,930.0
289.46593729790123,936.0
289.53892324978733,934.0
289.61190295488,916.0
289.68487641317927,912.0
289.75784362468517,924.0
289.8308045893977,919.0
289.9037593073168,924.0
289.9767077784425,942.0
290.0496500027748,925.0
290.1225859803137,914.0
290.1955157110592,914.0
290.26843919501135,942.0
290.34135643217,905.0
290.4142674225353,928.0
290.4871721661072,920.0
290.5600706628857,931.0
290.6329629128708,921.0
290.7058489160625,924.0
290.77872867246083,909.0
290.85160218206573,942.0
290.9244694448772,951.0
290.99733046089534,916.0
291.07018523012005,929.0
291.1430337525513,906.0
291.2158760281892,927.0
291.2887120570337,930.0
291.3615418390848,918.0
291.4343653743425,919.0
291.5071826628068,917.0
291.5799937044777,910.0
291.65279849935524,947.0
291.72559704743935,939.0
291.79838934873004,933.0
291.8711754032273,927.0
291.94395521093116,941.0
292.0167287718417,928.0
292.0894960859588,921.0
292.1622571532825,942.0
292.2350119738128,934.0
292.3077605475497,939.0
292.38050287449323,943.0
292.4532389546433,941.0
292.52596878800006,939.0
